respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.09562524535350246,0.259123926078332
26708,0.030550501858162025,0.04251452691643235
26709,0.445991829478025,0.7108324672112731
26710,0.30570144459687126,0.7822958681584917
26711,0.1986358227327044,0.4821595375641047
26712,0.4071480195465677,0.9116610465589698
26713,0.21891011030799634,0.4036884843783361
26714,0.07675683879191898,0.12838267237615125
26715,0.018947252033619768,0.08567690216467713
26716,0.11073989909665825,0.8005453896120643
26717,0.012768365675028683,0.27118240587468034
26718,0.2018936444631383,0.4005936187052869
26719,0.10874402811033745,0.8854476466213081
26720,0.08640303260703674,0.15183287685614338
26721,0.319786779658002,0.42019099391424886
26722,0.05171604623859561,0.09799692007363865
26723,0.4622937949351716,0.7320131484352261
26724,0.0652394526423685,0.4660047163742062
26725,0.02713007060735424,0.06466211505279931
26726,0.00935338161789992,0.017555694159500757
26727,0.22358373107942983,0.7452199603497288
26728,0.20716673850780684,0.5111447856455317
26729,0.08967965900080632,0.31985431897194944
26730,0.027927584737635933,0.13615131249259413
26731,0.011591729177562841,0.2254675424410981
26732,0.055176012274344315,0.03423988242644633
26733,0.8919983864975889,0.9475872410443142
26734,0.8650923258091546,0.49034485167716224
26735,0.08161608433132428,0.34412782166156514
26736,0.08110392681355345,0.16342206113915206
26737,0.09077788484624506,0.14315343296867686
26738,0.5950945360187827,0.8542974371931553
26739,0.12299239834798804,0.2219232648681551
26740,0.15947630455091721,0.1391249739684118
26741,0.21727558661457216,0.8871934783497498
26742,0.13468896169359956,0.4548867706322965
26743,0.03667476516947539,0.4361796356805991
26744,0.03883499382248779,0.5046404352195769
26745,0.06460103354898385,0.845472333827516
26746,0.07930905618548395,0.24886440849370053
26747,0.09352362028032916,0.34021075619430224
26748,0.11287380446296044,0.06590200566832105
26749,0.10367563584807044,0.6671219480610471
26750,0.4990543440617443,0.8630442451958918
26751,0.3217131747590703,0.6970184529810335
26752,0.01075024388565465,0.011851671290927866
26753,0.1274280974089489,0.5202238924298045
26754,0.12275543555964988,0.4777486220068739
26755,0.053989519292350394,0.18681701139934495
26756,0.020824675566422573,0.040964369758778964
26757,0.3215025162995617,0.38314913971822473
26758,0.5783936745824574,0.8678716230525176
26759,0.023405511869670395,0.12056923883905445
26760,0.004397509198020661,0.007395585613742407
26761,0.07503726669270036,0.46984662213910416
26762,0.07869499894761796,0.728187458125718
26763,0.8038834615617281,0.9470236659124446
26764,0.9115901473976,0.9576195559901018
26765,0.04254517349168763,0.6471130511999774
26766,0.14655334531480727,0.1439374532015855
26767,0.7608076769023058,0.7091708415830492
26768,0.008866197990873653,0.2219565743648131
26769,0.12389907766371153,0.13673995362961033
26770,0.15828270246595935,0.6284097207113885
26771,0.07735112448825278,0.20548967986327527
26772,0.08880528407501026,0.38875079289829895
26773,0.013785186961691946,0.3526959062662183
26774,0.025271351586235422,0.3924690200423696
26775,0.10645129504077455,0.48506043039608987
